Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
145,35,1,181,5,Some Random Commen with Id 145
146,35,1,93,6,Some Random Commen with Id 146
147,35,1,120,0,Some Random Commen with Id 147
148,35,1,39,3,Some Random Commen with Id 148
149,35,1,136,3,Some Random Commen with Id 149
150,35,1,34,6,Some Random Commen with Id 150
151,36,7,160,7,Some Random Commen with Id 151
152,36,7,126,1,Some Random Commen with Id 152
153,37,9,152,1,Some Random Commen with Id 153
154,37,9,30,0,Some Random Commen with Id 154
155,37,9,128,1,Some Random Commen with Id 155
156,37,9,165,9,Some Random Commen with Id 156
157,37,9,167,0,Some Random Commen with Id 157
158,38,8,189,9,Some Random Commen with Id 158
159,38,8,72,6,Some Random Commen with Id 159
160,38,8,1,7,Some Random Commen with Id 160
161,38,8,170,7,Some Random Commen with Id 161
162,38,8,147,9,Some Random Commen with Id 162
163,39,6,55,9,Some Random Commen with Id 163
164,39,6,12,2,Some Random Commen with Id 164
165,39,6,196,6,Some Random Commen with Id 165
166,39,6,69,0,Some Random Commen with Id 166
167,39,6,26,7,Some Random Commen with Id 167
168,39,6,65,9,Some Random Commen with Id 168
169,39,6,35,8,Some Random Commen with Id 169
